Number,The first digit is,The second digit is,The third digit is,The first digit is ,The second digit is,The third digit is,The sum of the first and second digits is,The sum of the first and third digits is,The sum of the second and third digits is,The sum of all three digits is,The difference of the first and second digits is,The difference of the first and third digits is,The difference of the second and third digits is ,The product of the first and second digits is,The product of the first and third digits is,The product of the second and third digits is,The product of all three digits is ,The mean of the first and second digits is,The mean of the first and third digits is,The mean of the second and third digits is,The mean of all three digits is,The range of all three digits is 
100,1,0,0,a square or a cube number,a square or a cube number,a square or a cube number,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1
101,1,0,1,a square or a cube number,a square or a cube number,a square or a cube number,1,2,1,2,1,0,1,0,1,0,0,1,1,1,1,1
102,1,0,2,a square or a cube number,a square or a cube number,a prime number,1,3,2,3,1,1,2,0,2,0,0,1,2,1,1,2
103,1,0,3,a square or a cube number,a square or a cube number,a prime number,1,4,3,4,1,2,3,0,3,0,0,1,2,2,1,3
104,1,0,4,a square or a cube number,a square or a cube number,a square number,1,5,4,5,1,3,4,0,4,0,0,1,3,2,2,4
105,1,0,5,a square or a cube number,a square or a cube number,a prime number,1,6,5,6,1,4,5,0,5,0,0,1,3,3,2,5
106,1,0,6,a square or a cube number,a square or a cube number,a triangular number,1,7,6,7,1,5,6,0,6,0,0,1,4,3,2,6
107,1,0,7,a square or a cube number,a square or a cube number,a prime number,1,8,7,8,1,6,7,0,7,0,0,1,4,4,3,7
108,1,0,8,a square or a cube number,a square or a cube number,a cube number,1,9,8,9,1,7,8,0,8,0,0,1,5,4,3,8
109,1,0,9,a square or a cube number,a square or a cube number,a square number,1,10,9,10,1,8,9,0,9,0,0,1,5,5,3,9
110,1,1,0,a square or a cube number,a square or a cube number,a square or a cube number,2,1,1,2,0,1,1,1,0,0,0,1,1,1,1,1
111,1,1,1,a square or a cube number,a square or a cube number,a square or a cube number,2,2,2,3,0,0,0,1,1,1,1,1,1,1,1,0
112,1,1,2,a square or a cube number,a square or a cube number,a prime number,2,3,3,4,0,1,1,1,2,2,2,1,2,2,1,1
113,1,1,3,a square or a cube number,a square or a cube number,a prime number,2,4,4,5,0,2,2,1,3,3,3,1,2,2,2,2
114,1,1,4,a square or a cube number,a square or a cube number,a square number,2,5,5,6,0,3,3,1,4,4,4,1,3,3,2,3
115,1,1,5,a square or a cube number,a square or a cube number,a prime number,2,6,6,7,0,4,4,1,5,5,5,1,3,3,2,4
116,1,1,6,a square or a cube number,a square or a cube number,a triangular number,2,7,7,8,0,5,5,1,6,6,6,1,4,4,3,5
117,1,1,7,a square or a cube number,a square or a cube number,a prime number,2,8,8,9,0,6,6,1,7,7,7,1,4,4,3,6
118,1,1,8,a square or a cube number,a square or a cube number,a cube number,2,9,9,10,0,7,7,1,8,8,8,1,5,5,3,7
119,1,1,9,a square or a cube number,a square or a cube number,a square number,2,10,10,11,0,8,8,1,9,9,9,1,5,5,4,8
